,x,y,bedrock_altitude (m)
2236,-1601999.8,-244499.72,-365.4324826675237
2246,-1596999.8,-244499.72,-583.6450790259634
2256,-1591999.8,-244499.72,-1050.7500083139282
2266,-1586999.8,-244499.72,-1169.0113450017884
2276,-1581999.8,-244499.72,-1282.6378199908222
2286,-1576999.8,-244499.72,-1231.472896590804
2296,-1571999.8,-244499.72,-1135.005254327181
2306,-1566999.8,-244499.72,-1154.7681393401992
2316,-1561999.8,-244499.72,-1029.6955676294465
2326,-1556999.8,-244499.72,-1050.1522221795751
2336,-1551999.8,-244499.72,-718.7970637648257
2346,-1546999.8,-244499.72,-1078.1132895056735
2356,-1541999.8,-244499.72,-1088.6831041335136
2366,-1536999.8,-244499.72,-920.8878386679866
2376,-1531999.8,-244499.72,-727.068204757949
2386,-1526999.8,-244499.72,-448.5072869183833
2396,-1521999.8,-244499.72,-714.6622130918001
2407,-1616499.8,-243999.72,-139.19193587477366
2417,-1611499.8,-243999.72,-71.09012760515172
2427,-1606499.8,-243999.72,-211.7031350360791
2437,-1601499.8,-243999.72,-369.5281019070379
2447,-1596499.8,-243999.72,-651.299999806241
2457,-1591499.8,-243999.72,-1005.3752586908378
2467,-1586499.8,-243999.72,-1246.173933294559
